Point, Distance, Depth, Resistivity
T3_142.316r, 142.316, 3.97, 1005.7
T3_142.316r, 142.316, 5.22, 588.63
T3_142.316r, 142.316, 6.59, 443.73
T3_142.316r, 142.316, 8.11, 440.06
T3_142.316r, 142.316, 9.77, 460.37
T3_142.316r, 142.316, 11.6, 371.28
T3_144.816r, 144.816, 0.854, 1921.5
T3_144.816r, 144.816, 1.79, 1716.7
T3_144.816r, 144.816, 2.83, 1677.2
T3_144.816r, 144.816, 3.97, 1255.2
T3_144.816r, 144.816, 5.22, 818.97
T3_144.816r, 144.816, 6.59, 550.37
T3_144.816r, 144.816, 8.11, 407.74
T3_144.816r, 144.816, 9.77, 308.69
T3_144.816r, 144.816, 11.6, 184.44
T3_147.316r, 147.316, 0.854, 1686.1
T3_147.316r, 147.316, 1.79, 1547.7
T3_147.316r, 147.316, 2.83, 1365.6
T3_147.316r, 147.316, 3.97, 952.6
T3_147.316r, 147.316, 5.22, 644.4
T3_147.316r, 147.316, 6.59, 491.41
T3_147.316r, 147.316, 8.11, 439.73
T3_147.316r, 147.316, 9.77, 443.9
T3_147.316r, 147.316, 11.6, 432.9
T3_149.816r, 149.816, 0.854, 1495.3
T3_149.816r, 149.816, 1.79, 2200.2
T3_149.816r, 149.816, 2.83, 1720.7
T3_149.816r, 149.816, 3.97, 821.3
T3_149.816r, 149.816, 5.22, 425.15
T3_149.816r, 149.816, 6.59, 349.54
T3_149.816r, 149.816, 8.11, 487.4
T3_149.816r, 149.816, 9.77, 979.1
T3_149.816r, 149.816, 11.6, 2310.1
T3_152.316r, 152.316, 0.854, 1500.1
T3_152.316r, 152.316, 1.79, 2498.7
T3_152.316r, 152.316, 2.83, 1498.9
T3_152.316r, 152.316, 3.97, 546
T3_152.316r, 152.316, 5.22, 268.59
T3_152.316r, 152.316, 6.59, 261
T3_152.316r, 152.316, 8.11, 518.63
T3_152.316r, 152.316, 9.77, 1743.3
T3_152.316r, 152.316, 11.6, 9181
T3_154.816r, 154.816, 0.854, 1609
T3_154.816r, 154.816, 1.79, 1738.5
T3_154.816r, 154.816, 2.83, 2093.4
T3_154.816r, 154.816, 3.97, 1337.6
T3_154.816r, 154.816, 5.22, 663.65
T3_154.816r, 154.816, 6.59, 438.57
T3_154.816r, 154.816, 8.11, 516.27
T3_154.816r, 154.816, 9.77, 1067.3
T3_154.816r, 154.816, 11.6, 3097.7
T3_157.316r, 157.316, 0.854, 1683.5
T3_157.316r, 157.316, 1.79, 1208.6
T3_157.316r, 157.316, 2.83, 1384.6
T3_157.316r, 157.316, 3.97, 868.16
T3_157.316r, 157.316, 5.22, 408.32
T3_157.316r, 157.316, 6.59, 255.19
T3_157.316r, 157.316, 8.11, 259.71
T3_157.316r, 157.316, 9.77, 402.89
T3_157.316r, 157.316, 11.6, 750.44
T3_159.816r, 159.816, 0.854, 2085.7
T3_159.816r, 159.816, 1.79, 2460.9
T3_159.816r, 159.816, 2.83, 1693.1
T3_159.816r, 159.816, 3.97, 713.33
T3_159.816r, 159.816, 5.22, 324.81
T3_159.816r, 159.816, 6.59, 230.9
T3_159.816r, 159.816, 8.11, 240.84
T3_159.816r, 159.816, 9.77, 314
T3_159.816r, 159.816, 11.6, 444.98
T3_162.316r, 162.316, 0.854, 1557.9
T3_162.316r, 162.316, 1.79, 2178.9
T3_162.316r, 162.316, 2.83, 1981
T3_162.316r, 162.316, 3.97, 1121.6
T3_162.316r, 162.316, 5.22, 611.95
T3_162.316r, 162.316, 6.59, 429.47
T3_162.316r, 162.316, 8.11, 394.91
T3_162.316r, 162.316, 9.77, 443.78
T3_162.316r, 162.316, 11.6, 549.41
T3_164.816r, 164.816, 0.854, 1376.2
T3_164.816r, 164.816, 1.79, 1376
T3_164.816r, 164.816, 2.83, 1692.6
T3_164.816r, 164.816, 3.97, 1263
T3_164.816r, 164.816, 5.22, 709.32
T3_164.816r, 164.816, 6.59, 448.09
T3_164.816r, 164.816, 8.11, 392.3
T3_164.816r, 164.816, 9.77, 475.46
T3_164.816r, 164.816, 11.6, 646.73
T3_167.316r, 167.316, 0.854, 1863.8
T3_167.316r, 167.316, 1.79, 1654.5
T3_167.316r, 167.316, 2.83, 1255.9
T3_167.316r, 167.316, 3.97, 695.91
T3_167.316r, 167.316, 5.22, 351.44
T3_167.316r, 167.316, 6.59, 245.93
T3_167.316r, 167.316, 8.11, 276.19
T3_167.316r, 167.316, 9.77, 497.4
T3_167.316r, 167.316, 11.6, 912.53
T3_169.816r, 169.816, 0.854, 1605
T3_169.816r, 169.816, 1.79, 1514.1
T3_169.816r, 169.816, 2.83, 1611
T3_169.816r, 169.816, 3.97, 991.62
T3_169.816r, 169.816, 5.22, 495.78
T3_169.816r, 169.816, 6.59, 328.6
T3_169.816r, 169.816, 8.11, 464.26
T3_169.816r, 169.816, 9.77, 999.72
T3_169.816r, 169.816, 11.6, 1960
T3_172.316r, 172.316, 0.854, 1836
T3_172.316r, 172.316, 1.79, 4024.9
T3_172.316r, 172.316, 2.83, 3256
T3_172.316r, 172.316, 3.97, 1501.4
T3_172.316r, 172.316, 5.22, 734.92
T3_172.316r, 172.316, 6.59, 600.88
T3_172.316r, 172.316, 8.11, 911.14
T3_172.316r, 172.316, 9.77, 1947.1
T3_172.316r, 172.316, 11.6, 4300.6
T3_174.816r, 174.816, 0.854, 1403.7
T3_174.816r, 174.816, 1.79, 4455.8
T3_174.816r, 174.816, 2.83, 1921.2
T3_174.816r, 174.816, 3.97, 564.4
T3_174.816r, 174.816, 5.22, 223.57
T3_174.816r, 174.816, 6.59, 305.14
T3_174.816r, 174.816, 8.11, 834.34
T3_174.816r, 174.816, 9.77, 2406.6
T3_174.816r, 174.816, 11.6, 7077.8
T3_177.316r, 177.316, 0.854, 1241.9
T3_177.316r, 177.316, 1.79, 2694.2
T3_177.316r, 177.316, 2.83, 1336.4
T3_177.316r, 177.316, 3.97, 426.89
T3_177.316r, 177.316, 5.22, 199.85
T3_177.316r, 177.316, 6.59, 263.61
T3_177.316r, 177.316, 8.11, 759.94
T3_177.316r, 177.316, 9.77, 2194.3
T3_177.316r, 177.316, 11.6, 5542.9
T3_179.816r, 179.816, 0.854, 1495.4
T3_179.816r, 179.816, 1.79, 3042
T3_179.816r, 179.816, 2.83, 1942.9
T3_179.816r, 179.816, 3.97, 638.49
T3_179.816r, 179.816, 5.22, 229.92
T3_179.816r, 179.816, 6.59, 235.31
T3_179.816r, 179.816, 8.11, 688.62
T3_179.816r, 179.816, 9.77, 1938.5
T3_179.816r, 179.816, 11.6, 4740.1
T3_182.316r, 182.316, 0.854, 1196.1
T3_182.316r, 182.316, 1.79, 1429.3
T3_182.316r, 182.316, 2.83, 1487
T3_182.316r, 182.316, 3.97, 749.98
T3_182.316r, 182.316, 5.22, 359.1
T3_182.316r, 182.316, 6.59, 342.43
T3_182.316r, 182.316, 8.11, 625.54
T3_182.316r, 182.316, 9.77, 1242.2
T3_182.316r, 182.316, 11.6, 1887.7
T3_184.816r, 184.816, 0.854, 1293.3
T3_184.816r, 184.816, 1.79, 1940.9
T3_184.816r, 184.816, 2.83, 1710
T3_184.816r, 184.816, 3.97, 785.27
T3_184.816r, 184.816, 5.22, 362.85
T3_184.816r, 184.816, 6.59, 310.25
T3_184.816r, 184.816, 8.11, 457.17
T3_184.816r, 184.816, 9.77, 663.16
T3_184.816r, 184.816, 11.6, 573.32
T3_187.316r, 187.316, 0.854, 1013.1
T3_187.316r, 187.316, 1.79, 1351.1
T3_187.316r, 187.316, 2.83, 858.14
T3_187.316r, 187.316, 3.97, 415.24
T3_187.316r, 187.316, 5.22, 261.51
T3_187.316r, 187.316, 6.59, 235.68
T3_187.316r, 187.316, 8.11, 258.14
T3_187.316r, 187.316, 9.77, 227.84
T3_187.316r, 187.316, 11.6, 88.89
T3_189.816r, 189.816, 0.854, 1728.2
T3_189.816r, 189.816, 1.79, 5311.2
T3_189.816r, 189.816, 2.83, 3250.1
T3_189.816r, 189.816, 3.97, 1687.1
T3_189.816r, 189.816, 5.22, 1109.7
T3_189.816r, 189.816, 6.59, 784.87
T3_189.816r, 189.816, 8.11, 524.8
T3_189.816r, 189.816, 9.77, 339.46
T3_189.816r, 189.816, 11.6, 222.32
T3_192.316r, 192.316, 0.854, 1941.9
T3_192.316r, 192.316, 1.79, 903.25
T3_192.316r, 192.316, 2.83, 1645.4
T3_192.316r, 192.316, 3.97, 3052.3
T3_192.316r, 192.316, 5.22, 3043.8
T3_192.316r, 192.316, 6.59, 2019.7
T3_192.316r, 192.316, 8.11, 1178.4
T3_192.316r, 192.316, 9.77, 823.36
T3_192.316r, 192.316, 11.6, 828.18
T3_194.816r, 194.816, 0.854, 2088.1
T3_194.816r, 194.816, 1.79, 3287.6
T3_194.816r, 194.816, 2.83, 4068
T3_194.816r, 194.816, 3.97, 3125.8
T3_194.816r, 194.816, 5.22, 1665.2
T3_194.816r, 194.816, 6.59, 999.81
T3_194.816r, 194.816, 8.11, 987.22
T3_194.816r, 194.816, 9.77, 1619
T3_194.816r, 194.816, 11.6, 3254.5
T3_197.316r, 197.316, 0.854, 2433.3
T3_197.316r, 197.316, 1.79, 895.9
T3_197.316r, 197.316, 2.83, 201.22
T3_197.316r, 197.316, 3.97, 120.92
T3_197.316r, 197.316, 5.22, 124.26
T3_197.316r, 197.316, 6.59, 265.78
T3_197.316r, 197.316, 8.11, 1112.6
T3_197.316r, 197.316, 9.77, 5084.4
T3_197.316r, 197.316, 11.6, 26661.4
T3_199.816r, 199.816, 0.854, 2355.9
T3_199.816r, 199.816, 1.79, 1476.6
T3_199.816r, 199.816, 2.83, 2024.2
T3_199.816r, 199.816, 3.97, 2297.2
T3_199.816r, 199.816, 5.22, 2486.3
T3_199.816r, 199.816, 6.59, 3319.4
T3_199.816r, 199.816, 8.11, 5784.6
T3_199.816r, 199.816, 9.77, 12842.5
T3_199.816r, 199.816, 11.6, 42938.1
T3_202.316r, 202.316, 0.854, 2293.3
T3_202.316r, 202.316, 1.79, 989.64
T3_202.316r, 202.316, 2.83, 913.72
T3_202.316r, 202.316, 3.97, 787.2
T3_202.316r, 202.316, 5.22, 879.42
T3_202.316r, 202.316, 6.59, 1572.2
T3_202.316r, 202.316, 8.11, 3537.3
T3_202.316r, 202.316, 9.77, 8650.6
T3_202.316r, 202.316, 11.6, 23185
T3_204.816r, 204.816, 0.854, 1260.6
T3_204.816r, 204.816, 1.79, 424.21
T3_204.816r, 204.816, 2.83, 142.54
T3_204.816r, 204.816, 3.97, 117.56
T3_204.816r, 204.816, 5.22, 119.2
T3_204.816r, 204.816, 6.59, 214.34
T3_204.816r, 204.816, 8.11, 857.51
T3_204.816r, 204.816, 9.77, 2243.2
T3_204.816r, 204.816, 11.6, 7129.6
T3_207.316r, 207.316, 0.854, 605.48
T3_207.316r, 207.316, 1.79, 1042
T3_207.316r, 207.316, 2.83, 276.02
T3_207.316r, 207.316, 3.97, 138.15
T3_207.316r, 207.316, 5.22, 123.12
T3_207.316r, 207.316, 6.59, 143.32
T3_207.316r, 207.316, 8.11, 150.98
T3_207.316r, 207.316, 9.77, 108.51
T3_207.316r, 207.316, 11.6, 139.79
T3_209.816r, 209.816, 0.854, 348.05
T3_209.816r, 209.816, 1.79, 2581.1
T3_209.816r, 209.816, 2.83, 451.61
T3_209.816r, 209.816, 3.97, 125.63
T3_209.816r, 209.816, 5.22, 104.48
T3_209.816r, 209.816, 6.59, 84.76
T3_209.816r, 209.816, 8.11, 60.51
T3_209.816r, 209.816, 9.77, 41.22
T3_209.816r, 209.816, 11.6, 47.05
T3_212.316r, 212.316, 0.854, 397.14
T3_212.316r, 212.316, 1.79, 732.21
T3_212.316r, 212.316, 2.83, 164.55
T3_212.316r, 212.316, 3.97, 102.47
T3_212.316r, 212.316, 5.22, 94.88
T3_212.316r, 212.316, 6.59, 72.89
T3_212.316r, 212.316, 8.11, 47.22
T3_212.316r, 212.316, 9.77, 29.51
T3_212.316r, 212.316, 11.6, 37.29
T3_214.816r, 214.816, 0.854, 933.34
T3_214.816r, 214.816, 1.79, 1679.4
T3_214.816r, 214.816, 2.83, 741.48
T3_214.816r, 214.816, 3.97, 343.23
T3_214.816r, 214.816, 5.22, 197.57
T3_214.816r, 214.816, 6.59, 123.76
T3_214.816r, 214.816, 8.11, 71.55
T3_214.816r, 214.816, 9.77, 40.93
T3_214.816r, 214.816, 11.6, 40.11
T3_217.316r, 217.316, 0.854, 1645.9
T3_217.316r, 217.316, 1.79, 1674.1
T3_217.316r, 217.316, 2.83, 1059
T3_217.316r, 217.316, 3.97, 1080.6
T3_217.316r, 217.316, 5.22, 1283.6
T3_217.316r, 217.316, 6.59, 764.67
T3_217.316r, 217.316, 8.11, 186.43
T3_217.316r, 217.316, 9.77, 85.6
T3_217.316r, 217.316, 11.6, 75.49
T3_219.816r, 219.816, 0.854, 1955.8
T3_219.816r, 219.816, 1.79, 601.88
T3_219.816r, 219.816, 2.83, 594.21
T3_219.816r, 219.816, 3.97, 1519.7
T3_219.816r, 219.816, 5.22, 2383.7
T3_219.816r, 219.816, 6.59, 1469.3
T3_219.816r, 219.816, 8.11, 452.98
T3_219.816r, 219.816, 9.77, 161.89
T3_219.816r, 219.816, 11.6, 238.75
T3_222.316r, 222.316, 0.854, 2273.2
T3_222.316r, 222.316, 1.79, 1822.7
T3_222.316r, 222.316, 2.83, 1679.5
T3_222.316r, 222.316, 3.97, 1648.7
T3_222.316r, 222.316, 5.22, 1156.3
T3_222.316r, 222.316, 6.59, 531.55
T3_222.316r, 222.316, 8.11, 223.78
T3_222.316r, 222.316, 9.77, 179.88
T3_222.316r, 222.316, 11.6, 447.52
T3_224.816r, 224.816, 0.854, 1904.6
T3_224.816r, 224.816, 1.79, 2388.2
T3_224.816r, 224.816, 2.83, 2141
T3_224.816r, 224.816, 3.97, 1097.8
T3_224.816r, 224.816, 5.22, 426.75
T3_224.816r, 224.816, 6.59, 207.42
T3_224.816r, 224.816, 8.11, 179.74
T3_224.816r, 224.816, 9.77, 309.07
T3_224.816r, 224.816, 11.6, 769.35
T3_227.316r, 227.316, 0.854, 2220.4
T3_227.316r, 227.316, 1.79, 1056.3
T3_227.316r, 227.316, 2.83, 868.38
T3_227.316r, 227.316, 3.97, 485.73
T3_227.316r, 227.316, 5.22, 233.28
T3_227.316r, 227.316, 6.59, 166.01
T3_227.316r, 227.316, 8.11, 285.44
T3_227.316r, 227.316, 9.77, 1525.6
T3_227.316r, 227.316, 11.6, 10654.4
T3_229.816r, 229.816, 0.854, 1346.5
T3_229.816r, 229.816, 1.79, 2163.6
T3_229.816r, 229.816, 2.83, 2293
T3_229.816r, 229.816, 3.97, 1179.5
T3_229.816r, 229.816, 5.22, 458.57
T3_229.816r, 229.816, 6.59, 269.27
T3_229.816r, 229.816, 8.11, 818.72
T3_229.816r, 229.816, 9.77, 6753.3
T3_229.816r, 229.816, 11.6, 92136.9
T3_232.316r, 232.316, 0.854, 1134.3
T3_232.316r, 232.316, 1.79, 1056.1
T3_232.316r, 232.316, 2.83, 513.02
T3_232.316r, 232.316, 3.97, 176.54
T3_232.316r, 232.316, 5.22, 125.24
T3_232.316r, 232.316, 6.59, 153.52
T3_232.316r, 232.316, 8.11, 680.25
T3_232.316r, 232.316, 9.77, 6739.6
T3_232.316r, 232.316, 11.6, 112848
T3_234.816r, 234.816, 0.854, 1071.4
T3_234.816r, 234.816, 1.79, 1294.7
T3_234.816r, 234.816, 2.83, 1869.7
T3_234.816r, 234.816, 3.97, 1315.1
T3_234.816r, 234.816, 5.22, 619.65
T3_234.816r, 234.816, 6.59, 361.87
T3_234.816r, 234.816, 8.11, 479.36
T3_234.816r, 234.816, 9.77, 1338.2
T3_234.816r, 234.816, 11.6, 3899.2
T3_237.316r, 237.316, 0.854, 1289.1
T3_237.316r, 237.316, 1.79, 817.52
T3_237.316r, 237.316, 2.83, 863.6
T3_237.316r, 237.316, 3.97, 540.16
T3_237.316r, 237.316, 5.22, 251.03
T3_237.316r, 237.316, 6.59, 166.5
T3_237.316r, 237.316, 8.11, 153.93
T3_237.316r, 237.316, 9.77, 231.14
T3_237.316r, 237.316, 11.6, 601.03
T3_239.816r, 239.816, 0.854, 1152.5
T3_239.816r, 239.816, 1.79, 2605.8
T3_239.816r, 239.816, 2.83, 1609
T3_239.816r, 239.816, 3.97, 641.87
T3_239.816r, 239.816, 5.22, 270.4
T3_239.816r, 239.816, 6.59, 172.39
T3_239.816r, 239.816, 8.11, 136.58
T3_239.816r, 239.816, 9.77, 109.24
T3_239.816r, 239.816, 11.6, 77.04
T3_242.316r, 242.316, 0.854, 1167.6
T3_242.316r, 242.316, 1.79, 3763.9
T3_242.316r, 242.316, 2.83, 3380.1
T3_242.316r, 242.316, 3.97, 1690.5
T3_242.316r, 242.316, 5.22, 772.36
T3_242.316r, 242.316, 6.59, 414.43
T3_242.316r, 242.316, 8.11, 282.74
T3_242.316r, 242.316, 9.77, 223.06
T3_242.316r, 242.316, 11.6, 179.56
T3_244.816r, 244.816, 0.854, 1764.6
T3_244.816r, 244.816, 1.79, 2018.8
T3_244.816r, 244.816, 2.83, 1874.4
T3_244.816r, 244.816, 3.97, 1059
T3_244.816r, 244.816, 5.22, 543.64
T3_244.816r, 244.816, 6.59, 362.68
T3_244.816r, 244.816, 8.11, 358.45
T3_244.816r, 244.816, 9.77, 524.3
T3_244.816r, 244.816, 11.6, 1015.6
T3_247.316r, 247.316, 0.854, 2229.2
T3_247.316r, 247.316, 1.79, 3348.8
T3_247.316r, 247.316, 2.83, 2008.3
T3_247.316r, 247.316, 3.97, 636.69
T3_247.316r, 247.316, 5.22, 235.26
T3_247.316r, 247.316, 6.59, 167.42
T3_247.316r, 247.316, 8.11, 224.28
T3_247.316r, 247.316, 9.77, 552.76
T3_247.316r, 247.316, 11.6, 1743.3
T3_249.816r, 249.816, 0.854, 1913.3
T3_249.816r, 249.816, 1.79, 3830.9
T3_249.816r, 249.816, 2.83, 2670.5
T3_249.816r, 249.816, 3.97, 805.38
T3_249.816r, 249.816, 5.22, 254.53
T3_249.816r, 249.816, 6.59, 163.96
T3_249.816r, 249.816, 8.11, 223.45
T3_249.816r, 249.816, 9.77, 662.6
T3_249.816r, 249.816, 11.6, 2667.1
T3_252.316r, 252.316, 0.854, 1971.3
T3_252.316r, 252.316, 1.79, 2706.5
T3_252.316r, 252.316, 2.83, 3066.4
T3_252.316r, 252.316, 3.97, 1584.5
T3_252.316r, 252.316, 5.22, 619.16
T3_252.316r, 252.316, 6.59, 335.02
T3_252.316r, 252.316, 8.11, 393.35
T3_252.316r, 252.316, 9.77, 1081.2
T3_252.316r, 252.316, 11.6, 4971.9
T3_254.816r, 254.816, 0.854, 2096.6
T3_254.816r, 254.816, 1.79, 2039.9
T3_254.816r, 254.816, 2.83, 2115.9
T3_254.816r, 254.816, 3.97, 1411.1
T3_254.816r, 254.816, 5.22, 758.98
T3_254.816r, 254.816, 6.59, 492.41
T3_254.816r, 254.816, 8.11, 535.61
T3_254.816r, 254.816, 9.77, 1143.1
T3_254.816r, 254.816, 11.6, 4017.3
T3_257.316r, 257.316, 0.854, 1836.6
T3_257.316r, 257.316, 1.79, 2228.6
T3_257.316r, 257.316, 2.83, 2105.5
T3_257.316r, 257.316, 3.97, 1194.1
T3_257.316r, 257.316, 5.22, 599.98
T3_257.316r, 257.316, 6.59, 378.61
T3_257.316r, 257.316, 8.11, 372.08
T3_257.316r, 257.316, 9.77, 620.04
T3_257.316r, 257.316, 11.6, 1464.3
T3_259.816r, 259.816, 0.854, 1870.2
T3_259.816r, 259.816, 1.79, 2464.4
T3_259.816r, 259.816, 2.83, 2757.2
T3_259.816r, 259.816, 3.97, 1590.3
T3_259.816r, 259.816, 5.22, 675.6
T3_259.816r, 259.816, 6.59, 328.52
T3_259.816r, 259.816, 8.11, 248.86
T3_259.816r, 259.816, 9.77, 314.26
T3_259.816r, 259.816, 11.6, 557.05
T3_262.316r, 262.316, 0.854, 1713.5
T3_262.316r, 262.316, 1.79, 1594.7
T3_262.316r, 262.316, 2.83, 1898.4
T3_262.316r, 262.316, 3.97, 1271.4
T3_262.316r, 262.316, 5.22, 585.48
T3_262.316r, 262.316, 6.59, 285.36
T3_262.316r, 262.316, 8.11, 208.99
T3_262.316r, 262.316, 9.77, 239.65
T3_262.316r, 262.316, 11.6, 384.69
T3_264.816r, 264.816, 0.854, 1353.3
T3_264.816r, 264.816, 1.79, 1408.8
T3_264.816r, 264.816, 2.83, 1488.3
T3_264.816r, 264.816, 3.97, 862.69
T3_264.816r, 264.816, 5.22, 396.22
T3_264.816r, 264.816, 6.59, 222.87
T3_264.816r, 264.816, 8.11, 198.55
T3_264.816r, 264.816, 9.77, 274.3
T3_264.816r, 264.816, 11.6, 451.48
T3_267.316r, 267.316, 0.854, 914.07
T3_267.316r, 267.316, 1.79, 2022.5
T3_267.316r, 267.316, 2.83, 1755.5
T3_267.316r, 267.316, 3.97, 657.46
T3_267.316r, 267.316, 5.22, 277.94
T3_267.316r, 267.316, 6.59, 197.05
T3_267.316r, 267.316, 8.11, 239.26
T3_267.316r, 267.316, 9.77, 577.42
T3_267.316r, 267.316, 11.6, 872.64
T3_269.816r, 269.816, 0.854, 772.95
T3_269.816r, 269.816, 1.79, 5933.5
T3_269.816r, 269.816, 2.83, 3764.5
T3_269.816r, 269.816, 3.97, 796.68
T3_269.816r, 269.816, 5.22, 277.38
T3_269.816r, 269.816, 6.59, 229.87
T3_269.816r, 269.816, 8.11, 345.89
T3_269.816r, 269.816, 9.77, 2145.9
T3_269.816r, 269.816, 11.6, 2294.5
T3_272.316r, 272.316, 0.854, 792.68
T3_272.316r, 272.316, 1.79, 5184.6
T3_272.316r, 272.316, 2.83, 3400.4
T3_272.316r, 272.316, 3.97, 727.39
T3_272.316r, 272.316, 5.22, 277.21
T3_272.316r, 272.316, 6.59, 385.18
T3_272.316r, 272.316, 8.11, 1049.4
T3_272.316r, 272.316, 9.77, NaN
T3_272.316r, 272.316, 11.6, NaN
T3_274.816r, 274.816, 0.854, 933.03
T3_274.816r, 274.816, 1.79, 2104.3
T3_274.816r, 274.816, 2.83, 1300.1
T3_274.816r, 274.816, 3.97, 416.5
T3_274.816r, 274.816, 5.22, 295.82
T3_274.816r, 274.816, 6.59, 668
T3_274.816r, 274.816, 8.11, 1916.7
T3_274.816r, 274.816, 9.77, NaN
T3_274.816r, 274.816, 11.6, NaN
T3_277.316r, 277.316, 0.854, 1322.1
T3_277.316r, 277.316, 1.79, 2305.6
T3_277.316r, 277.316, 2.83, 971.35
T3_277.316r, 277.316, 3.97, 354.1
T3_277.316r, 277.316, 5.22, 338.28
T3_277.316r, 277.316, 6.59, 763.08
T3_277.316r, 277.316, 8.11, 1646.9
T3_277.316r, 277.316, 9.77, NaN
T3_277.316r, 277.316, 11.6, NaN
T3_279.816r, 279.816, 0.854, 1836.3
T3_279.816r, 279.816, 1.79, 1722.2
T3_279.816r, 279.816, 2.83, 1012.9
T3_279.816r, 279.816, 3.97, 488.06
T3_279.816r, 279.816, 5.22, 407.34
T3_279.816r, 279.816, 6.59, 707.59
T3_279.816r, 279.816, 8.11, 1122.9
T3_279.816r, 279.816, 9.77, NaN
T3_279.816r, 279.816, 11.6, NaN
T3_282.316r, 282.316, 0.854, 3475.9
T3_282.316r, 282.316, 1.79, 2007.2
T3_282.316r, 282.316, 2.83, 1383.3
T3_282.316r, 282.316, 3.97, 712.61
T3_282.316r, 282.316, 5.22, NaN
T3_282.316r, 282.316, 6.59, NaN
T3_282.316r, 282.316, 8.11, NaN
T3_282.316r, 282.316, 9.77, NaN
T3_282.316r, 282.316, 11.6, NaN
T3_284.816r, 284.816, 0.854, 3535.7
T3_284.816r, 284.816, 1.79, 3570.8
T3_284.816r, 284.816, 2.83, 2406.9
T3_284.816r, 284.816, 3.97, 1177.1
T3_284.816r, 284.816, 5.22, NaN
T3_284.816r, 284.816, 6.59, NaN
T3_284.816r, 284.816, 8.11, NaN
T3_284.816r, 284.816, 9.77, NaN
T3_284.816r, 284.816, 11.6, NaN
